Disease	Drug
Cancer related pain 	pmid25666693-compound-6
Inflammatory pain 	pmid25666693-compound-6
Neuropathic pain 	pmid25666693-compound-6
Osteoarthritis pain 	pmid25666693-compound-6
Autoimmune diabetes 	anti-mif antibodies
Hepatitis C virus infection 	isg15-lnp01
Allergic conjunctivitis 	alcaftadine
Metabolic disorder 	p1201-07
Ischemic heart disease 	mcp-205
Panic disorder 	dov-51892
Mycobacterium infection 	aeras-402
Chronic pain 	pf-05089771
Hepatocellular carcinoma 	biib 022
Non-small-cell lung cancer 	biib 022
Bacterial infection 	idr-1018
Solid tumour/cancer 	d-11b
Chronic obstructive pulmonary disease 	bamifylline
Allergy 	crth2 receptor antagonists, athersys
Multiple sclerosis 	gem-sp
Non-hodgkin lymphoma 	anticd19 cart
Multiple myeloma 	anti-bcma car-t cell therapy
Neurological disorder 	sem-606
Hepatitis B virus infection 	nz-4
Acute myeloid leukaemia 	annamycin liposomal
Solid tumour/cancer 	az-23
Myeloid leukaemia 	combined pr1/wt1 vaccine
Solid tumour/cancer 	isis 13920
Neurodegenerative disorder 	nt-ko-012
Diabetic complication 	azd1656
Anxiety disorder 	nitrous oxide
Solid tumour/cancer 	nktt-320
Bacterial infection 	a-54145
Crohn disease 	pmid26651364-compound-8c
Ulcerative colitis 	pmid26651364-compound-8c
Urinary tract infection 	pmid26651364-compound-8c
Human immunodeficiency virus infection 	1,3-dihydroxy phenyl derivative 1
Infectious disease 	1,3-dihydroxy phenyl derivative 1
Hepatitis 	1,3-dihydroxy phenyl derivative 1
Solid tumour/cancer 	1,3-dihydroxy phenyl derivative 1
Kidney disease 	indus-815b
Non-small-cell lung cancer 	osimertinib
Solid tumour/cancer 	ki-0904
Glioma 	bcl-003
Cough 	cloperastine
Gastrinoma 	secretin
Pancreatic exocrine dysfunction 	secretin
Spinal cord injury 	nx-210
Chronic obstructive pulmonary disease 	ronomilast
Xerophthalmia 	al-43546
Eosinophilic asthma 	reslizumab
Asthma 	reslizumab
Severe asthma 	reslizumab
Solid tumour/cancer 	b7-2/gm-csf cancer gene therapy vaccine
Diabetic complication 	eq-1280
Asthma 	opk-0018
Haematological malignancy 	tgr-1202
Chronic lymphocytic leukaemia 	tgr-1202
Non-hodgkin lymphoma 	tgr-1202
Staphylococcus infection 	sx8
Chronic pain 	pyrazolo[4,3-h]quinazoline-3-carboxamide derivative 1
Malignant thymoma 	pyrazolo[4,3-h]quinazoline-3-carboxamide derivative 1
Neuropathic pain 	pyrazolo[4,3-h]quinazoline-3-carboxamide derivative 1
Thymic cancer 	pyrazolo[4,3-h]quinazoline-3-carboxamide derivative 1
Pruritus 	pyrazolo[4,3-h]quinazoline-3-carboxamide derivative 1
Alopecia 	gi-197111
Inflammation 	lassbio-1524
Allergy 	ar101
Solid tumour/cancer 	cbs-9106
Alzheimer disease 	rg7129
Migraine 	srss-023
Pain 	xel-002bg
Bladder cancer 	tecentriq
Breast cancer 	tecentriq
Colorectal cancer 	tecentriq
Haematological malignancy 	tecentriq
Melanoma 	tecentriq
Myelodysplastic syndrome 	tecentriq
Non-muscle invasive bladder cancer 	tecentriq
Renal cell carcinoma 	tecentriq
Squamous cell carcinoma 	tecentriq
Urothelial carcinoma 	tecentriq
Asthma 	sp-003
Pain 	low dose fentanyl
Solid tumour/cancer 	oncoprev
Radioactive tracer 	technetium tc-99m exametazime kit
Ebola virus infection 	tkm-ebola
Human immunodeficiency virus infection 	ccr5qb
Deep vein thrombosis 	fibrinogen, i-125
Cluster headache 	pf-05280586
Follicular lymphoma 	pf-05280586
Spinal cord injury 	vx-210
Merkel cell carcinoma 	nant merkel cell cancer vaccine
Melanoma 	combo with meki
Ovarian cancer 	pumvc3-higfbp-2
Autoimmune diabetes 	protein a mimetics
Cancer related pain 	pmid25666693-compound-63
Inflammatory pain 	pmid25666693-compound-63
Neuropathic pain 	pmid25666693-compound-63
Osteoarthritis pain 	pmid25666693-compound-63
Solid tumour/cancer 	trasgex
Alzheimer disease 	bay-1006578
Cognitive impairment 	ci-933
Clostridium infection 	diphtheria/tetanus vaccine
Infectious disease 	ki-0401
Solid tumour/cancer 	me-143
Diabetic complication 	azd5658
Obesity 	azd5658
Psoriasis vulgaris 	mk-3222/sch 900222
Solid tumour/cancer 	ap26113
Lymphoma 	cdx-011
Hemophilia 	mod-5023
Human immunodeficiency virus-1 infection 	tak-220
Asthma 	sar231893
Atopic dermatitis 	sar231893
Peripheral vascular disease 	alfimeprase
Musculoskeletal disorder 	lanperisone
Metastatic cancer 	thiazole carboxamide derivative 37
Solid tumour/cancer 	thiazole carboxamide derivative 37
Type-2 diabetes 	apd-597
Diabetic macular edema 	kh-902
Malaria 	cycloguanil
Ebola virus infection 	ebola vaccine
Cervical cancer 	ino-3112
Head and neck cancer 	ino-3112
Cancer related pain 	pmid25666693-compound-53
Neuropathic pain 	pmid25666693-compound-53
Osteoarthritis pain 	pmid25666693-compound-53
Inflammatory pain 	pmid25666693-compound-53
Solid tumour/cancer 	sns-314
Solid tumour/cancer 	hg-1141
Breast cancer 	bosutinib
Hypertension 	diltiazem
Anaesthesia 	mivacurium
Alzheimer disease 	evp-0962
Alzheimer disease 	ginkgo biloba extract
Solid tumour/cancer 	avid100
Acute myeloid leukaemia 	rg7388
Solid tumour/cancer 	rg7388
Haematological malignancy 	rg7388
Polycythemia vera 	rg7388
B-cell lymphoma 	icar19 car-t cells
leukaemia 	icar19 car-t cells
Neurodegenerative disorder 	anx005
Cancer related pain 	pmid25666693-compound-75
Inflammatory pain 	pmid25666693-compound-75
Neuropathic pain 	pmid25666693-compound-75
Osteoarthritis pain 	pmid25666693-compound-75
Solid tumour/cancer 	s-024
Non-small-cell lung cancer 	blu-667
Solid tumour/cancer 	blu-667
Neisseria meningitis infection 	meningococcal acyw-135 vaccine
Breast cancer 	fsn-1006
Thrombosis 	ono-8809
Cas mediated disorder 	imatinib and nilotinib derivative 1
Alzheimer disease 	ue-2343
Bladder cancer 	oportuzumab monatox
Head and neck cancer 	oportuzumab monatox
Stroke 	rh-thrombomodulin
Colorectal cancer 	sart3 peptide cancer vaccine
Hepatitis D virus infection 	hepatitis delta antigen
Respiratory syndrome coronavirus infection 	gls-5300
Coronavirus infection 	gls-5300
Diarrhea 	mdx-066
Asthma 	lodoxamide
Bacterial infection 	kirromycin
Diarrhea 	bismuth
Asthma 	lm-1507.na
Bacterial infection 	sultamicillin tosilate
Arteriosclerosis 	vulm-1457
Heart failure 	br-4628
Huntington disease 	pf-02545920
Schizophrenia 	pf-02545920
Anaesthesia 	oraqix
Rheumatoid arthritis 	cartistem
Solid tumour/cancer 	piroxantrone
Inflammation 	inflammation therapeutics
Escherichia coli infection 	e coli epvaccine
Graft-versus-host disease 	visilizumab
Hyperlipidaemia 	ws-070117
Anemia 	human serum albumin
Gastrointestinal disease 	azd-5745
Urinary incontinence 	uish-001
Malaria 	hydroxychloroquine
Bone resorption 	olpadronic acid sodium salt
Duchenne dystrophy 	domagrozumab
Hepatitis 	pmid30107136-compound-example2
Human immunodeficiency virus infection 	pmid30107136-compound-example2
Infectious disease 	pmid30107136-compound-example2
Solid tumour/cancer 	pmid30107136-compound-example2
Solid tumour/cancer 	amg 208
Heart disease 	cenderitide
Heart failure 	cenderitide
Inclusion body myositis 	dalazatide
Plaque psoriasis 	dalazatide
Psoriasis vulgaris 	dalazatide
Acquired nystagmus 	tridihexethyl
Peptic ulcer 	diphemanil methylsulfate
Haematological malignancy 	op-r003
Chronic pain 	trv734
Arteriosclerosis 	tei-6522
Solid tumour/cancer 	carm1 inhibitors
Cerebrovascular ischaemia 	gly-515n
Acne vulgaris 	methyl aminolevulinate
Pancreatic cancer 	uridine triacetate
Diabetic complication 	uridine triacetate
Arteriosclerosis 	cgs-24565
Bacillus anthracis infection 	ib-201
Female infertility 	follitropin beta
Type-1 diabetes 	vc-01
Bacterial infection 	ro-48-1220
Bacterial infection 	biotin carboxylase inhibitors
Muscle wasting disease 	muscle wasting protein therapeutics
Cancer related pain 	pmid25666693-compound-8
Inflammatory pain 	pmid25666693-compound-8
Osteoarthritis pain 	pmid25666693-compound-8
Neuropathic pain 	pmid25666693-compound-8
Influenza virus infection 	flugem
Stroke 	maa868
Human immunodeficiency virus infection 	aromatic acetylene derivative 2
Infectious disease 	aromatic acetylene derivative 2
Solid tumour/cancer 	aromatic acetylene derivative 2
Hepatitis 	aromatic acetylene derivative 2
Liver metastasis 	anti-cea car-t therapy
Metastatic liver cancer 	anti-cea car-t therapy
Solid tumour/cancer 	d-81050
Asthma 	ly-210073
Acute lymphocytic leukaemia 	carcik-cd19
Anxiety disorder 	zalospirone
Neuroinflammation 	jnj-55308942
Anhedonia 	jnj-55308942
Mood disorder 	jnj-55308942
Melanoma 	narciclasine
Crohn disease 	mannoside derivative 1
Ulcerative colitis 	mannoside derivative 1
Urinary tract infection 	mannoside derivative 1
Psychotic disorder 	a-69024
Ovarian cancer 	6-(4-chlorophenyl)-7-(2,4-dichlorophenyl)-n-(hydroxymethyl)-1,2,2-trimethyl-1,2,3,4-tetrahydro-1,8-naphthyridine-4-carboxamide (enantiomeric mix)
Acute myeloid leukaemia 	ign523
Meningococcal infection 	meninge acyw
Rheumatoid arthritis 	meninge acyw
Friedreich's ataxia 	vatiquinone
Morquio syndrome 	bmn-110
Peroxisomal disorder 	cholic acid
Synthesis disorder 	cholic acid
Type-2 diabetes 	bexagliflozin
Head and neck cancer 	tas-106
Hypocholesterolemia 	melinamide
Non-hodgkin lymphoma 	car-t cells targeting cd20
Autoimmune diabetes 	darpins
Rhinitis 	etiprednol dicloacetate
Cachexia 	pf-05230901
Endometrial cancer 	xbio-101
Malignant uterine tumour 	xbio-101
Ovarian cancer 	egen-001
Peritoneal cancer 	egen-001
Fallopian tube cancer 	egen-001
Rheumatoid arthritis 	ncx-1015
Cytomegalovirus retinitis 	foscavir
Pancreatic tumour 	api-31510
Recurrent glioblastoma 	api-31510
Solid tumour/cancer 	api-31510
Epidermolysis bullosa 	api-31510
Squamous cell carcinoma 	api-31510
Head and neck cancer 	axalimogene filolisbac
Anal cancer 	axalimogene filolisbac
Cervical cancer 	axalimogene filolisbac
Solid tumour/cancer 	cp-4200
Obesity 	pyrazolo[1,5-a]pyrimidine derivative 10
Endometrial cancer 	folate binding protein-e39
Solid tumour/cancer 	sebriplatin
Ocular disease 	stp-601
Solid tumour/cancer 	vinflunine
Alzheimer disease 	abeta retroparticles
Gastrointestinal disease 	fp-0110
Bacterial infection 	pd-155392
Schizophrenia 	tak-058
XY disorder of sex development due to androgen resistance 	tak-058
Wiskott-Aldrich syndrome 	gsk2696275
Type-2 diabetes 	skf 38393
Coronary artery disease 	biobypass
Cystic fibrosis 	cystic fibrosis therapeutics
Psychotic disorder 	ym-43611
Ulcerative colitis 	biaryl mannoside derivative 25
Urinary tract infection 	biaryl mannoside derivative 25
Crohn disease 	biaryl mannoside derivative 25
Hypercholesterolaemia 	amg 145
Hypertension 	pd-145065
Neurodegenerative disorder 	nw-1772
Crohn disease 	pmid26651364-compound-11c
Ulcerative colitis 	pmid26651364-compound-11c
Urinary tract infection 	pmid26651364-compound-11c
Neuropathic pain 	azm-1
Diabetic complication 	sipoglitazar
Dementia 	mk-3134
Asthma 	valergen-dp (sublingual)
Human immunodeficiency virus-1 infection 	ad5-enva-48
Rheumatoid arthritis 	abt-122
Psoriatic arthritis 	abt-122
Solid tumour/cancer 	kb-9520
Trigeminal neuralgia 	biib074
Lumbosacral radiculopathy 	biib074
Rheumatoid arthritis 	nox-200
Heart transplant rejection 	inolimomab
Aberrant vascularization 	tihotungstate derivative 1
Copper metabolism disorder 	tihotungstate derivative 1
Nervous system disease 	tihotungstate derivative 1
Neurodegenerative disorder 	tihotungstate derivative 1
Cerebrovascular ischaemia 	ns-1608
Mucopolysaccharidosis 	vestronidase alfa
Breast cancer 	brostallicin
Diabetic complication 	dermagraft
Chronic obstructive pulmonary disease 	rbx-343e48f0
Acute myeloid leukaemia 	alxn6000
Solid tumour/cancer 	alxn6000
Chronic lymphocytic leukaemia 	alxn6000
Ophthalmic disease 	rose bengal sodium i-131
Solid tumour/cancer 	elenagen
Solid tumour/cancer 	fluorine-18-labelled peptides
Hypertension 	rjm-0035-k002
Bladder cancer 	rg-7446
Urothelial carcinoma 	rg-7446
Acute lymphoblastic leukaemia 	cd19-car t cell
Non-hodgkin lymphoma 	cd19-car t cell
Allergic rhinitis 	stagr320
Hepatitis virus infection 	biln-2061
Hepatic metastasis 	codrituzumab
Inflammation 	bm-162115
Solid tumour/cancer 	prlx93936
Erectile dysfunction 	relenza iv
Tuberculosis 	ethionamide
Chronic obstructive pulmonary disease 	fluorometholone
Solid tumour/cancer 	gsk1070916a
Anaplastic astrocytoma 	tg02
Recurrent glioblastoma 	tg02
Solid tumour/cancer 	tg02
Myasthenia gravis 	efgartigimod
Solid tumour/cancer 	gsk3052230
Inflammatory pain 	pmid25666693-compound-57
Cancer related pain 	pmid25666693-compound-57
Neuropathic pain 	pmid25666693-compound-57
Osteoarthritis pain 	pmid25666693-compound-57
Solid tumour/cancer 	hz-08
Lymphoma 	cd22-targeted car-t cells
leukaemia 	cd22-targeted car-t cells
Bacterial infection 	cefuzonam sodium
Major depressive disorder 	opc-34712
Human immunodeficiency virus infection 	s-265744 lap
Ephelides 	aromatic hydrazine carboxyimidoamide derivative 3
Albinism 	aromatic hydrazine carboxyimidoamide derivative 3
Melasma 	aromatic hydrazine carboxyimidoamide derivative 3
Menkes disease 	aromatic hydrazine carboxyimidoamide derivative 3
Senile lentigines 	aromatic hydrazine carboxyimidoamide derivative 3
Virus infection 	chimerivax-west nile vaccine
Adverse reactions to acetaminophen or acetaminophen overdose 	cysteine hydrochloride
infection associated with diabetic foot ulcers 	nemonoxacin
Diabetic foot ulcer 	nemonoxacin
Acute myeloid leukaemia 	eryaspase
Migraine 	almogran
Small-cell lung cancer 	kyproliscarfilzomib
Malaria 	piperaquine
Idiopathic pulmonary fibrosis 	gc-1008
Pleural disease 	gc-1008
Diarrhea 	co-trimoxazole
Metastatic cancer 	pmid25684022-compound-wo2011137219 35(1-11)
Solid tumour/cancer 	pmid25684022-compound-wo2011137219 35(1-11)
Melanoma 	interferon alfa-2b
Pest attack 	avermectins
Autoimmune diabetes 	tnf-targeting small molecule therapeutic, oral, inflammation/autoimmune disease
Corynebacterium diphtheriae infection 	diphtheria antitoxin
Solid tumour/cancer 	hank for infusion
Schizophrenia 	pomaglumetad
Solid tumour/cancer 	rexin-g
Renal transplantation 	nc1153
Hepatocellular carcinoma 	car-gpc3 t cells
Hypertension 	vii-87-b
Multiple sclerosis 	daclizumab
Acquired immune deficiency syndrome 	cyt 99007
Solid tumour/cancer 	pha-793887
Breast cancer 	mcla-128
Neurological disorder 	nk-2210
Type-2 diabetes 	nis215
Anorexia nervosa cachexia 	marinol
Osteonecrosis 	osteoblast cell therapy
Arteriosclerosis 	rock-1 inhibitors
Solid tumour/cancer 	chap1
Autoimmune diabetes 	mtrx-1011a
Wound healing 	cytocor
Ocular inflammation 	ot-551
Blood brain barrier 	gadobutrol
Isosporiasis 	letrazuril
Haematological malignancy 	wortmannin
Hepatitis A virus infection 	avaxim
Arteriosclerosis 	bio-flow
Adrenoleukodystrophy 	som1201
Psoriasis vulgaris 	mk-3222
Hairy cell leukaemia 	mk-3222
Plaque psoriasis 	mk-3222
Virus infection 	mddr 347017
Chronic pain 	pmid28270021-compound-wo2015170218example557
Pruritus 	pmid28270021-compound-wo2015170218example557
Solid tumour/cancer 	pmid28270021-compound-wo2015170218example557
Thymic cancer 	pmid28270021-compound-wo2015170218example557
Neuropathic pain 	pmid28270021-compound-wo2015170218example557
Mycobacterium infection 	nd-701
Tendon injuries 	bmp-655
Myocardial disease 	iodofiltic acid i-123
Graves disease 	atx-gd
Ischemic heart disease 	autologous endothelial progenitor cell therapy
Depression 	venlafaxine
Metastatic cancer 	pyrimidinone derivative 1
Solid tumour/cancer 	pyrimidinone derivative 1
Chronic obstructive pulmonary disease 	tiotropium
Cough 	zp-004
Psychiatric disorder 	sel-73
Anxiety disorder 	orvepitant
Depression 	orvepitant
Asthma 	mol-218
Human immunodeficiency virus-1 infection 	molecule 25
Solid tumour/cancer 	ch-4938056
Asthma 	formoterol/budesonide
Immune System disease 	immune globulin subcutaneous, 20% liquid
Gram-positive bacterial infection 	yjp-40101
Transplant rejection 	safironil
Arteriosclerosis 	quinazoline derivative 13
Atopic dermatitis 	quinazoline derivative 13
Gastrointestinal disease 	quinazoline derivative 13
Multiple sclerosis 	quinazoline derivative 13
Bleeding disorder 	human thrombin
Insomnia 	estazolam
Abdominal aortic aneurysm 	evans blue
Bacterial infection 	sph-260-4
Pain 	grc-17536
Acute coronary syndrome 	m-enoxaparin
Solid tumour/cancer 	admdd-15
Spinal muscular atrophy 	sodium phenylbutyrate
leukaemia 	csl-362-aml
Vulnerary 	asiaticoside
Influenza virus infection 	peramivir
Cardiovascular disease 	sulfur hexafluoride lipid-type a microspheres
Mycobacterium infection 	leprovac
Liver cancer 	amb-8lk
Recurrent glioblastoma 	ino-5401
Bladder cancer 	ino-5401
Cystic fibrosis 	n91115
Allergic rhinitis 	hpp404
Hepatitis C virus infection 	ir208
Multiple sclerosis 	ir208
Anxiety disorder 	s-15535
Thrombosis 	ssr-126517e
Lymphoma 	galiximab
Infectious disease 	elcams
Investigative surgical procedure 	isosulfan blue
Mucopolysaccharidosis 	agt-181
Parkinson disease 	a 77636
Diabetic complication 	mitiglinide
Breast cancer 	slx-1016
Lung cancer 	inno-305
Acute myeloid leukaemia 	inno-305
Human immunodeficiency virus-1 infection 	tuti-16
Cystitis 	lp-10
Hepatitis 	1,3,4-oxadiazole derivative 2
Human immunodeficiency virus infection 	1,3,4-oxadiazole derivative 2
Infectious disease 	1,3,4-oxadiazole derivative 2
Solid tumour/cancer 	1,3,4-oxadiazole derivative 2
Acne vulgaris 	acne therapy, transdermal/ tpm
Bordetella pertussis infection 	infanrix-dtap-hib
Alzheimer disease 	zk-93426
Schizophrenia 	e-2040
Cough 	sch-900978
Anxiety disorder 	clorazepate
Xerophthalmia 	pmuc5ac
Metabolic disorder 	sil-187
Allergic rhinitis 	cmp-1
Ocular disease 	rx-10045
Short bowel syndrome 	amx-256
Malaria 	quinoline methanols
Bacterial infection 	carbapenem antibacterials
Central nervous system disease 	ren-1826
Parkinson disease 	xp-21279
Ulcerative colitis 	pmid26651364-compound-8d
Urinary tract infection 	pmid26651364-compound-8d
Crohn disease 	pmid26651364-compound-8d
Deep venous clot 	danaparoid
Angina pectoris 	abciximab
Hepatitis virus infection 	cnj-h01
Liver disease 	jkb-119
Solid tumour/cancer 	anti-cd27 agonist
Syndrome X 	ab-3001
Chronic myelogenous leukaemia 	igf-mtx
Myelodysplastic syndrome 	igf-mtx
Hyperuricaemia 	rdea3170
Human immunodeficiency virus infection 	cabotegravir la
Solid tumour/cancer 	s-070
Growth hormone deficiency 	somatropin recombinant
Respiratory distress syndrome 	surfactant ta
Breast cancer 	tb-010
Disseminated intravascular coagulation 	art-123
Wound healing 	human recombinant protein
Cardiovascular disease 	regn-728
Melanoma 	adoptive t-cell therapy
Hodgkin lymphoma 	cart19 cells
Lymphoma 	abi-011
Solid tumour/cancer 	abi-011
Insulin-dependent diabetes 	mesostem
Myotonic dystrophy 	2-moe phosphorothioate gapmers (myotonic dystrophy), genzyme/isis pharmaceuticals
Critical limb ischemia 	alo 212
Schistosomiasis 	oxamniquine
Malaria 	antimalarial peroxides
Delayed methotrexate clearance 	glucarpidase
Irritable bowel syndrome 	lpg-1030s
Hyperlipidaemia 	sitostanol ascorbyl phosphate
Breast cancer 	trastuzumab-dm1
Hypertension 	terlipressin
Arthritis 	recombinant human tnf receptor
Anxiety disorder 	adx10059
Psoriatic arthritis 	tremfya
Diabetic complication 	em-2198
Pancreatic cancer 	istiratumab
Solid tumour/cancer 	oratecan
Retina venous occlusion 	ecallantide
Wound healing 	profezyme
Hemophilia 	recombinant factor viii
Influenza virus infection 	ikt-051
Bladder disease 	iocetamic acid
Peripheral neuropathy 	azd-3161
Bone metastases 	temoporfin
Analgesia 	ach-02
Ebola virus infection 	v920
Diabetic foot ulcer 	galnobax
Anaesthesia 	dibucaine
Solid tumour/cancer 	anticancer/antidiabetic protein
Pain 	opioid prodrugs
Acute myeloid leukaemia 	bi-811283
Solid tumour/cancer 	abbv-368
Paroxysmal nocturnal haemoglobinuria 	apl-2
Asthma 	n-6060
Trypanosomiasis 	antiparasitic diamidines
Solid tumour/cancer 	bay 94-9343
Estrogen deficiency 	bn-aa-003-ny
Bacterial infection 	sb-236049
Haematological malignancy 	immu-114
leukaemia 	immu-114
Human immunodeficiency virus-1 infection 	mk-1972
Rheumatoid arthritis 	cadherin-11
Malaria 	kac-776
Staphylococcus infection 	pentastaph
Inflammation 	bf/pc-18
Psychotic disorder 	fluphenazine
Cancer related pain 	pmid25666693-compound-49
Inflammatory pain 	pmid25666693-compound-49
Neuropathic pain 	pmid25666693-compound-49
Osteoarthritis pain 	pmid25666693-compound-49
Mycobacterium infection 	gtu-tb vaccine
Multiple sclerosis 	chs-131
Verruca vulgaris 	burke-103
Melanoma 	multi-epitope peptide melanoma vaccine
Solid tumour/cancer 	cnx-1351
Major depressive disorder 	cgp-28014
Hypertension 	50-235
Dilated cardiomyopathy 	tissue repair stem cell therapy
Peripheral ischemia 	tissue repair stem cell therapy
Constitutional neutropenia 	mirimostim
Virus infection 	vennvax
Prostate hyperplasia 	hormone-independent vaccine
Sepsis 	tenecrin
Liver cancer 	sm04755
Plaque psoriasis 	sm04755
Human immunodeficiency virus infection 	eradicaide
Neuropathic pain 	gp-1100
Pain 	vpx-595
Solid tumour/cancer 	igfr1 kinase inhibitors
Lateral sclerosis 	ozanezumab
Anxiety disorder 	xr-368
Melanoma 	ads-nptmz-1
Human immunodeficiency virus-1 infection 	pd-153103
Solid tumour/cancer 	vatalanib
Heart arrhythmia 	cordil
Lung infection 	cipro inhale
Lung inflammation 	cz-2645
Cardiovascular disease 	lanatoside b
Vaginal infection 	rgn-259 eye drops
Skin infection 	antiinflammatory/antimicrobial
Metachromatic leukodystrophy 	gsk2696274
Constipation 	cb-01-16
Non-hodgkin lymphoma 	imprime pgg immunotherapeutic
Radioactive tracer 	technetium tc-99m pyrophosphate kit
Hepatitis C virus infection 	edp-239
Metastatic cancer 	thiazole carboxamide derivative 21
Solid tumour/cancer 	thiazole carboxamide derivative 21
Pain 	methamphetamine
Attention deficit hyperactivity disorder 	methamphetamine
Arthritis 	citrofen
Pain 	dezocine
Solid tumour/cancer 	mk-7252
Ovarian cancer 	mx-35
Acute myeloid leukaemia 	cart-33 cells
Myelodysplastic syndrome 	cart-33 cells
Anxiety disorder 	nsd-721
Albinism 	resorcinol compound 14
Ephelides 	resorcinol compound 14
Melasma 	resorcinol compound 14
Menkes disease 	resorcinol compound 14
Senile lentigines 	resorcinol compound 14
Hypertension 	lercanidipine
Alzheimer disease 	inp102
Solid tumour/cancer 	atpenin b
Bronchiectasis 	mannitol
Renal failure 	mannitol
Advanced malignancy 	incb57643
Myocardial infarction 	annexin a5
Parkinson disease 	ac-8632
Cardiovascular disease 	aom-0821
Obesity 	pyrazole derivative 13
Chronic lymphocytic leukaemia 	glg-801
Parkinson disease 	carbidopa
Breast cancer 	anti-cd3 and anti-her2/neu bispecific antibody-armed activated t cells
Heart disease 	n-3601
Solid tumour/cancer 	tgf-br2 mab
Obesity 	azetidine derivative 3
leukaemia 	cmlvax100
Breast cancer 	sfv il-12 gene therapy
Type-2 diabetes 	empagliflozin/linagliptin
Chronic obstructive pulmonary disease 	seebri
Chronic lymphocytic leukaemia 	cirmtuzumab
Mantle cell lymphoma 	cirmtuzumab
Obesity 	pyrazole derivative 14
Neurodegenerative disorder 	cnm-au8
Hepatitis C virus infection 	avl-181
Diabetic complication 	admva
Ebola virus infection 	ebola virus vaccine + matrix-m
Skin inflammation 	benzothiazine-carboxamide compound 1
Breast cancer 	personalized cancer vaccine
Brain disease 	pramiracetam
Pain 	bctc
Influenza virus infection 	et-001
Anxiety disorder 	dibenzepin
Chronic lymphocytic leukaemia 	oncoquest-cll
leukaemia 	oncoquest-cll
Autoimmune diabetes 	ikkbeta inhibitors
Multiple myeloma 	ccx-721
Breast cancer 	ae37/gp2 peptide vaccine
Solid tumour/cancer 	dactinomycin
Solid tumour/cancer 	ang-1007
Autoimmune diabetes 	hc3-1496
Diabetic neuropathy 	aigiv
Factor VIII deficiency 	lg-889
Allergy 	suplatast tosilate
Lipid metabolism disorder 	prb-6014
Major depressive disorder 	bci-952
Solid tumour/cancer 	cen-209
Factor IX deficiency 	recombinant factor ix
Malaria 	proguanil
Chronic pain 	pyrrolo[2,3-b]pyridine derivative 1
Neuropathic pain 	pyrrolo[2,3-b]pyridine derivative 1
Thymic cancer 	pyrrolo[2,3-b]pyridine derivative 1
Pruritus 	pyrrolo[2,3-b]pyridine derivative 1
Solid tumour/cancer 	pyrrolo[2,3-b]pyridine derivative 1
Human immunodeficiency virus infection 	antiviral hyperactivation limiting therapeutics
Muscle spasm 	eperisone
Systemic lupus erythematosus 	inv103
Malaria 	pmid30280939-compound-us20170128558
Cardiovascular disease 	acs-14
Alzheimer disease 	pti-80
Depression 	phenelzine
Skin imperfections 	phenelzine
Myocardial infarction 	cpi-003
Crohn disease 	alicaforsen
Lleum inflammation 	alicaforsen
Ulcerative colitis 	alicaforsen
Glioblastoma multiforme 	lg631
Hepatitis B virus infection 	hbv vaccine
Insomnia 	paraldehyde
Influenza virus infection 	yuganning
Diabetic complication 	emeriamine
Hypertension 	ym-16151-4
Solid tumour/cancer 	pf-3732010
Cancer related pain 	pmid25666693-compound-43
Neuropathic pain 	pmid25666693-compound-43
Osteoarthritis pain 	pmid25666693-compound-43
Inflammatory pain 	pmid25666693-compound-43
Allergy 	tak-683
Prostate cancer 	tak-683
Allergy 	imp-321
Poison intoxication 	sodium thiosulfate
Non-cystic fibrosis bronchiectasis 	cat allergy vaccine
Solid tumour/cancer 	pl-225b
Respiratory syncytial virus infection 	jnj-61187165
Cervical Intraepithelial neoplasia 	tipapkinogene sovacivec
Benign prostatic hyperplasia 	terazosin
Cachexia 	mnx-160
Pancreatic cancer 	civacir
Hepatitis C virus infection 	civacir
Periodontitis 	periodontitis therapy, sanofi
Solid tumour/cancer 	amg 211
Migraine 	analgesics
Solid tumour/cancer 	mtl-003
Bacterial infection 	rx-101005
Chronic lymphocytic leukaemia 	cobomarsen
Cutaneous T-cell lymphoma 	cobomarsen
Diffuse large B-cell lymphoma 	cobomarsen
Respiratory syncytial virus infection 	vr465
Rhinitis 	avp-13358
Sarcoidosis 	avotermin
Transplant rejection 	ljp-920
Non-hodgkin lymphoma 	dcds-4501a
Diffuse large B-cell lymphoma 	dcds-4501a
Pseudomonas infection 	azlocillin
Inflammatory bowel disease 	jd-4000
Paget's disease 	risedronate
Dysmenorrhea 	srx-251
Pain 	rg7893
Solid tumour/cancer 	cbt-501
Infection of P. falciparum 	vinylsulphones
Asthma 	org-9935
Ebola virus infection 	pav-617
Cognitive impairment 	t-82
Neuropathic pain 	ver-156084
Bacterial infection 	l-742728
Cystic fibrosis 	mcf
Rheumatoid arthritis 	gsk2941266
Parkinson disease 	paeoniflorin
Allergic rhinitis 	prostaglandin d2 antagonists
Metastatic cancer 	thiazole carboxamide derivative 8
Solid tumour/cancer 	thiazole carboxamide derivative 8
Lymphoma 	car-t cells targeting cd22
Multiple myeloma 	car-t cells targeting cd22
leukaemia 	car-t cells targeting cd22
Cancer related pain 	dbo-11
Duchenne dystrophy 	gsk2402968
Acute lymphoblastic leukaemia 	car-t cells targeting cd19
Solid tumour/cancer 	jnj-61610588
Pain 	pd173212
Solid tumour/cancer 	gs-438
